Block,Plot,BlockPlot,Treatment,year,season,seasonyear,individuals,SQRTIndividuals,LOGP1Individuals
2,4a,24a,Manual removal 2x,2020,Spring,Spring2020,54,7.348469228,2.73239376
2,4b,24b,Herbicide 2x,2020,Spring,Spring2020,54,7.348469228,2.73239376
2,4a,24a,Manual removal 2x,2021,Spring,Spring2021,3,1.732050808,1.477121255
2,4b,24b,Herbicide 2x,2021,Spring,Spring2021,12,3.464101615,2.079181246
2,4a,24a,Manual removal 2x,2021,Fall,Fall2021,71,8.426149773,2.851258349
2,4b,24b,Herbicide 2x,2021,Fall,Fall2021,99,9.949874371,2.995635195
2,4a,24a,Manual removal 2x,2022,Spring,Spring2022,4,2,1.602059991
2,4b,24b,Herbicide 2x,2022,Spring,Spring2022,71,8.426149773,2.851258349
2,4a,24a,Manual removal 2x,2022,Fall,Fall2022,14,3.741657387,2.146128036
2,4b,24b,Herbicide 2x,2022,Fall,Fall2022,27,5.196152423,2.431363764
3,5a,35a,Herbicide 2x,2020,Spring,Spring2020,60,7.745966692,2.77815125
3,5b,35b,Manual removal 2x,2020,Spring,Spring2020,30,5.477225575,2.477121255
3,5a,35a,Herbicide 2x,2021,Spring,Spring2021,6,2.449489743,1.77815125
3,5b,35b,Manual removal 2x,2021,Spring,Spring2021,0,0,#NUM!
3,5a,35a,Herbicide 2x,2021,Fall,Fall2021,205,14.31782106,3.311753861
3,5b,35b,Manual removal 2x,2021,Fall,Fall2021,57,7.549834435,2.755874856
3,5a,35a,Herbicide 2x,2022,Spring,Spring2022,24,4.898979486,2.380211242
3,5b,35b,Manual removal 2x,2022,Spring,Spring2022,1,1,1
3,5a,35a,Herbicide 2x,2022,Fall,Fall2022,42,6.480740698,2.62324929
3,5b,35b,Manual removal 2x,2022,Fall,Fall2022,5,2.236067977,1.698970004
4,7a,47a,Herbicide 2x,2020,Spring,Spring2020,60,7.745966692,2.77815125
4,7b,47b,Manual removal 2x,2020,Spring,Spring2020,65,8.062257748,2.812913357
4,7a,47a,Herbicide 2x,2021,Spring,Spring2021,7,2.645751311,1.84509804
4,7b,47b,Manual removal 2x,2021,Spring,Spring2021,28,5.291502622,2.447158031
4,7a,47a,Herbicide 2x,2021,Fall,Fall2021,91,9.539392014,2.959041392
4,7b,47b,Manual removal 2x,2021,Fall,Fall2021,160,12.64911064,3.204119983
4,7a,47a,Herbicide 2x,2022,Spring,Spring2022,20,4.472135955,2.301029996
4,7b,47b,Manual removal 2x,2022,Spring,Spring2022,29,5.385164807,2.462397998
4,7a,47a,Herbicide 2x,2022,Fall,Fall2022,52,7.211102551,2.716003344
4,7b,47b,Manual removal 2x,2022,Fall,Fall2022,364,19.07878403,3.561101384
