Block,Plot,BlockPlot,Code,Treatment,TreatFreq,UniqueID,seasonyear,year,season,Individuals,SQRTIndividuals,LOGP1Individuals
1,4,4-Jan,CH,Cut and herbicide,8,"1,4,CH",Fall2019,2019,Fall,7,2.645751311,0.903089987
2,6,6-Feb,CH,Cut and herbicide,8,"2,6,CH",Fall2019,2019,Fall,0,0,0
3,6,6-Mar,CH,Cut and herbicide,8,"3,6,CH",Fall2019,2019,Fall,10,3.16227766,1.041392685
4,4,4-Apr,CH,Cut and herbicide,8,"4,4,CH",Fall2019,2019,Fall,4,2,0.698970004
1,4,4-Jan,CH,Cut and herbicide,8,"1,4,CH",Spring2019,2019,Spring,103,10.14889157,2.017033339
2,6,6-Feb,CH,Cut and herbicide,8,"2,6,CH",Spring2019,2019,Spring,32,5.656854249,1.51851394
3,6,6-Mar,CH,Cut and herbicide,8,"3,6,CH",Spring2019,2019,Spring,232,15.23154621,2.367355921
4,4,4-Apr,CH,Cut and herbicide,8,"4,4,CH",Spring2019,2019,Spring,369,19.20937271,2.568201724
1,4,4-Jan,CH,Cut and herbicide,8,"1,4,CH",Spring2020,2020,Spring,13,3.605551275,1.146128036
2,6,6-Feb,CH,Cut and herbicide,8,"2,6,CH",Spring2020,2020,Spring,3,1.732050808,0.602059991
3,6,6-Mar,CH,Cut and herbicide,8,"3,6,CH",Spring2020,2020,Spring,42,6.480740698,1.633468456
4,4,4-Apr,CH,Cut and herbicide,8,"4,4,CH",Spring2020,2020,Spring,18,4.242640687,1.278753601
1,4,4-Jan,CH,Cut and herbicide,8,"1,4,CH",Fall2021,2021,Fall,12,3.464101615,1.113943352
2,6,6-Feb,CH,Cut and herbicide,8,"2,6,CH",Fall2021,2021,Fall,1,1,0.301029996
3,6,6-Mar,CH,Cut and herbicide,8,"3,6,CH",Fall2021,2021,Fall,9,3,1
4,4,4-Apr,CH,Cut and herbicide,8,"4,4,CH",Fall2021,2021,Fall,37,6.08276253,1.579783597
1,4,4-Jan,CH,Cut and herbicide,8,"1,4,CH",Spring2021,2021,Spring,0,0,0
2,6,6-Feb,CH,Cut and herbicide,8,"2,6,CH",Spring2021,2021,Spring,0,0,0
3,6,6-Mar,CH,Cut and herbicide,8,"3,6,CH",Spring2021,2021,Spring,0,0,0
4,4,4-Apr,CH,Cut and herbicide,8,"4,4,CH",Spring2021,2021,Spring,0,0,0
1,4,4-Jan,CH,Cut and herbicide,8,"1,4,CH",Spring2022,2022,Spring,13,3.605551275,1.146128036
2,6,6-Feb,CH,Cut and herbicide,8,"2,6,CH",Spring2022,2022,Spring,2,1.414213562,0.477121255
3,6,6-Mar,CH,Cut and herbicide,8,"3,6,CH",Spring2022,2022,Spring,13,3.605551275,1.146128036
4,4,4-Apr,CH,Cut and herbicide,8,"4,4,CH",Spring2022,2022,Spring,28,5.291502622,1.462397998
1,4,4-Jan,CH,Cut and herbicide,8,"1,4,CH",Fall2020,2020,Fall,0,0,0
2,6,6-Feb,CH,Cut and herbicide,8,"2,6,CH",Fall2020,2020,Fall,0,0,0
3,6,6-Mar,CH,Cut and herbicide,8,"3,6,CH",Fall2020,2020,Fall,0,0,0
4,4,4-Apr,CH,Cut and herbicide,8,"4,4,CH",Fall2020,2020,Fall,0,0,0
1,4,14,CH,Cut and herbicide,8,"1,4,CH",Fall2022,2022,Fall,18,4.242640687,1.278753601
2,6,26,CH,Cut and herbicide,8,"2,6,CH",Fall2022,2022,Fall,0,0,0
3,6,36,CH,Cut and herbicide,8,"3,6,CH",Fall2022,2022,Fall,8,2.828427125,0.954242509
4,4,44,CH,Cut and herbicide,8,"4,4,CH",Fall2022,2022,Fall,10,3.16227766,1.041392685
1,5,5-Jan,H1x,Herbicide 1x,8,"1,5,H1x",Fall2019,2019,Fall,18,4.242640687,1.278753601
2,3,3-Feb,H1x,Herbicide 1x,8,"2,3,H1x",Fall2019,2019,Fall,0,0,0
3,4,4-Mar,H1x,Herbicide 1x,8,"3,4,H1x",Fall2019,2019,Fall,4,2,0.698970004
4,6,6-Apr,H1x,Herbicide 1x,8,"4,6,H1x",Fall2019,2019,Fall,8,2.828427125,0.954242509
1,5,5-Jan,H1x,Herbicide 1x,8,"1,5,H1x",Spring2019,2019,Spring,37,6.08276253,1.579783597
2,3,3-Feb,H1x,Herbicide 1x,8,"2,3,H1x",Spring2019,2019,Spring,22,4.69041576,1.361727836
3,4,4-Mar,H1x,Herbicide 1x,8,"3,4,H1x",Spring2019,2019,Spring,36,6,1.568201724
4,6,6-Apr,H1x,Herbicide 1x,8,"4,6,H1x",Spring2019,2019,Spring,89,9.433981132,1.954242509
1,5,5-Jan,H1x,Herbicide 1x,8,"1,5,H1x",Spring2020,2020,Spring,1,1,0.301029996
2,3,3-Feb,H1x,Herbicide 1x,8,"2,3,H1x",Spring2020,2020,Spring,0,0,0
3,4,4-Mar,H1x,Herbicide 1x,8,"3,4,H1x",Spring2020,2020,Spring,12,3.464101615,1.113943352
4,6,6-Apr,H1x,Herbicide 1x,8,"4,6,H1x",Spring2020,2020,Spring,12,3.464101615,1.113943352
1,5,5-Jan,H1x,Herbicide 1x,8,"1,5,H1x",Fall2021,2021,Fall,3,1.732050808,0.602059991
2,3,3-Feb,H1x,Herbicide 1x,8,"2,3,H1x",Fall2021,2021,Fall,9,3,1
3,4,4-Mar,H1x,Herbicide 1x,8,"3,4,H1x",Fall2021,2021,Fall,8,2.828427125,0.954242509
4,6,6-Apr,H1x,Herbicide 1x,8,"4,6,H1x",Fall2021,2021,Fall,12,3.464101615,1.113943352
1,5,5-Jan,H1x,Herbicide 1x,8,"1,5,H1x",Spring2021,2021,Spring,1,1,0.301029996
2,3,3-Feb,H1x,Herbicide 1x,8,"2,3,H1x",Spring2021,2021,Spring,0,0,0
3,4,4-Mar,H1x,Herbicide 1x,8,"3,4,H1x",Spring2021,2021,Spring,0,0,0
4,6,6-Apr,H1x,Herbicide 1x,8,"4,6,H1x",Spring2021,2021,Spring,1,1,0.301029996
1,5,5-Jan,H1x,Herbicide 1x,8,"1,5,H1x",Spring2022,2022,Spring,2,1.414213562,0.477121255
2,3,3-Feb,H1x,Herbicide 1x,8,"2,3,H1x",Spring2022,2022,Spring,15,3.872983346,1.204119983
3,4,4-Mar,H1x,Herbicide 1x,8,"3,4,H1x",Spring2022,2022,Spring,2,1.414213562,0.477121255
4,6,6-Apr,H1x,Herbicide 1x,8,"4,6,H1x",Spring2022,2022,Spring,10,3.16227766,1.041392685
1,5,5-Jan,H1x,Herbicide 1x,8,"1,5,H1x",Fall2020,2020,Fall,0,0,0
2,3,3-Feb,H1x,Herbicide 1x,8,"2,3,H1x",Fall2020,2020,Fall,0,0,0
3,4,4-Mar,H1x,Herbicide 1x,8,"3,4,H1x",Fall2020,2020,Fall,0,0,0
4,6,6-Apr,H1x,Herbicide 1x,8,"4,6,H1x",Fall2020,2020,Fall,0,0,0
1,5,15,H1x,Herbicide 1x,8,"1,5,H1x",Fall2022,2022,Fall,1,1,0.301029996
2,3,23,H1x,Herbicide 1x,8,"2,3,H1x",Fall2022,2022,Fall,6,2.449489743,0.84509804
3,4,34,H1x,Herbicide 1x,8,"3,4,H1x",Fall2022,2022,Fall,21,4.582575695,1.342422681
4,6,46,H1x,Herbicide 1x,8,"4,6,H1x",Fall2022,2022,Fall,23,4.795831523,1.380211242
1,2,2-Jan,H1x1x,Herbicide 1x1x,10,"1,2,H1x1x",Fall2019,2019,Fall,83,9.110433579,1.924279286
2,5,5-Feb,H1x1x,Herbicide 1x1x,10,"2,5,H1x1x",Fall2019,2019,Fall,2,1.414213562,0.477121255
3,2,2-Mar,H1x1x,Herbicide 1x1x,10,"3,2,H1x1x",Fall2019,2019,Fall,11,3.31662479,1.079181246
4,8,8-Apr,H1x1x,Herbicide 1x1x,10,"4,8,H1x1x",Fall2019,2019,Fall,11,3.31662479,1.079181246
1,2,2-Jan,H1x1x,Herbicide 1x1x,10,"1,2,H1x1x",Spring2019,2019,Spring,50,7.071067812,1.707570176
2,5,5-Feb,H1x1x,Herbicide 1x1x,10,"2,5,H1x1x",Spring2019,2019,Spring,48,6.92820323,1.69019608
3,2,2-Mar,H1x1x,Herbicide 1x1x,10,"3,2,H1x1x",Spring2019,2019,Spring,22,4.69041576,1.361727836
4,8,8-Apr,H1x1x,Herbicide 1x1x,10,"4,8,H1x1x",Spring2019,2019,Spring,91,9.539392014,1.963787827
1,2,2-Jan,H1x1x,Herbicide 1x1x,10,"1,2,H1x1x",Spring2020,2020,Spring,0,0,0
2,5,5-Feb,H1x1x,Herbicide 1x1x,10,"2,5,H1x1x",Spring2020,2020,Spring,0,0,0
3,2,2-Mar,H1x1x,Herbicide 1x1x,10,"3,2,H1x1x",Spring2020,2020,Spring,2,1.414213562,0.477121255
4,8,8-Apr,H1x1x,Herbicide 1x1x,10,"4,8,H1x1x",Spring2020,2020,Spring,12,3.464101615,1.113943352
