Block,Plot,BlockPlot,Code,Treatment,Year,Season,SeasonYear,Individuals,BaselinePECI
2,4a,24a,CNT-P,Manual removal 2x,2020,Spring,Spring2020,54,54
2,4a,24a,CNT-P,Manual removal 2x,2021,Spring,Spring2021,3,54
2,4a,24a,CNT-P,Manual removal 2x,2021,Fall,Fall2021,71,54
2,4a,24a,CNT-P,Manual removal 2x,2022,Spring,Spring2022,4,54
2,4a,24a,CNT-P,Manual removal 2x,2022,Fall,Fall2022,14,54
2,4b,24b,CNT-H,Herbicide 2x,2020,Spring,Spring2020,54,54
2,4b,24b,CNT-H,Herbicide 2x,2021,Spring,Spring2021,12,54
2,4b,24b,CNT-H,Herbicide 2x,2021,Fall,Fall2021,99,54
2,4b,24b,CNT-H,Herbicide 2x,2022,Spring,Spring2022,71,54
2,4b,24b,CNT-H,Herbicide 2x,2022,Fall,Fall2022,27,54
3,5a,35a,CNT-H,Herbicide 2x,2020,Spring,Spring2020,60,60
3,5a,35a,CNT-H,Herbicide 2x,2021,Spring,Spring2021,6,60
3,5a,35a,CNT-H,Herbicide 2x,2021,Fall,Fall2021,205,60
3,5a,35a,CNT-H,Herbicide 2x,2022,Spring,Spring2022,24,60
3,5a,35a,CNT-H,Herbicide 2x,2022,Fall,Fall2022,42,60
3,5b,35b,CNT-P,Manual removal 2x,2020,Spring,Spring2020,30,30
3,5b,35b,CNT-P,Manual removal 2x,2021,Spring,Spring2021,0,30
3,5b,35b,CNT-P,Manual removal 2x,2021,Fall,Fall2021,57,30
3,5b,35b,CNT-P,Manual removal 2x,2022,Spring,Spring2022,1,30
3,5b,35b,CNT-P,Manual removal 2x,2022,Fall,Fall2022,5,30
4,7a,47a,CNT-H,Herbicide 2x,2020,Spring,Spring2020,60,60
4,7a,47a,CNT-H,Herbicide 2x,2021,Spring,Spring2021,7,60
4,7a,47a,CNT-H,Herbicide 2x,2021,Fall,Fall2021,91,60
4,7a,47a,CNT-H,Herbicide 2x,2022,Spring,Spring2022,20,60
4,7a,47a,CNT-H,Herbicide 2x,2022,Fall,Fall2022,52,60
4,7b,47b,CNT-P,Manual removal 2x,2020,Spring,Spring2020,65,65
4,7b,47b,CNT-P,Manual removal 2x,2021,Spring,Spring2021,28,65
4,7b,47b,CNT-P,Manual removal 2x,2021,Fall,Fall2021,160,65
4,7b,47b,CNT-P,Manual removal 2x,2022,Spring,Spring2022,29,65
4,7b,47b,CNT-P,Manual removal 2x,2022,Fall,Fall2022,364,65
