Block,Plot,BlockPlot,Code,Treatment,UniqueID,seasonyear,year,season,Individuals,SQRTIndividuals,LOGP1Individuals
1,4,bp1_4,CH,Cut and herbicide,"1,4,CH",Fall2019,2019,Fall,7,2.645751311,0.903089987
2,6,bp2_6,CH,Cut and herbicide,"2,6,CH",Fall2019,2019,Fall,0,0,0
3,6,bp3_6,CH,Cut and herbicide,"3,6,CH",Fall2019,2019,Fall,10,3.16227766,1.041392685
4,4,bp4_4,CH,Cut and herbicide,"4,4,CH",Fall2019,2019,Fall,4,2,0.698970004
1,6,bp1_6,CR,Uninvaded control,"1,6,CR",Fall2019,2019,Fall,1,1,0.301029996
2,1,bp2_1,CR,Uninvaded control,"2,1,CR",Fall2019,2019,Fall,0,0,0
3,1,bp3_1,CR,Uninvaded control,"3,1,CR",Fall2019,2019,Fall,0,0,0
4,3,bp4_3,CR,Uninvaded control,"4,3,CR",Fall2019,2019,Fall,6,2.449489743,0.84509804
1,5,bp1_5,H1x,Herbicide 1x,"1,5,H1x",Fall2019,2019,Fall,18,4.242640687,1.278753601
2,3,bp2_3,H1x,Herbicide 1x,"2,3,H1x",Fall2019,2019,Fall,0,0,0
3,4,bp3_4,H1x,Herbicide 1x,"3,4,H1x",Fall2019,2019,Fall,4,2,0.698970004
4,6,bp4_6,H1x,Herbicide 1x,"4,6,H1x",Fall2019,2019,Fall,8,2.828427125,0.954242509
1,2,bp1_2,H1x1x,Herbicide 1x1x,"1,2,H1x1x",Fall2019,2019,Fall,83,9.110433579,1.924279286
2,5,bp2_5,H1x1x,Herbicide 1x1x,"2,5,H1x1x",Fall2019,2019,Fall,2,1.414213562,0.477121255
3,2,bp3_2,H1x1x,Herbicide 1x1x,"3,2,H1x1x",Fall2019,2019,Fall,11,3.31662479,1.079181246
4,8,bp4_8,H1x1x,Herbicide 1x1x,"4,8,H1x1x",Fall2019,2019,Fall,11,3.31662479,1.079181246
1,7,bp1_7,H2x1x,Herbicide 3x,"1,7,H2x1x",Fall2019,2019,Fall,41,6.403124237,1.62324929
2,7,bp2_7,H2x1x,Herbicide 3x,"2,7,H2x1x",Fall2019,2019,Fall,12,3.464101615,1.113943352
3,8,bp3_8,H2x1x,Herbicide 3x,"3,8,H2x1x",Fall2019,2019,Fall,3,1.732050808,0.602059991
4,5,bp4_5,H2x1x,Herbicide 3x,"4,5,H2x1x",Fall2019,2019,Fall,2,1.414213562,0.477121255
1,3,bp1_3,P,Manual removal,"1,3,P",Fall2019,2019,Fall,55,7.416198487,1.748188027
2,8,bp2_8,P,Manual removal,"2,8,P",Fall2019,2019,Fall,102,10.09950494,2.012837225
3,7,bp3_7,P,Manual removal,"3,7,P",Fall2019,2019,Fall,32,5.656854249,1.51851394
4,2,bp4_2,P,Manual removal,"4,2,P",Fall2019,2019,Fall,82,9.055385138,1.919078092
1,1,bp1_1,PH,Manual removal and herbicide,"1,1,PH",Fall2019,2019,Fall,49,7,1.698970004
2,2,bp2_2,PH,Manual removal and herbicide,"2,2,PH",Fall2019,2019,Fall,4,2,0.698970004
3,3,bp3_3,PH,Manual removal and herbicide,"3,3,PH",Fall2019,2019,Fall,5,2.236067977,0.77815125
4,1,bp4_1,PH,Manual removal and herbicide,"4,1,PH",Fall2019,2019,Fall,5,2.236067977,0.77815125
1,4,bp1_4,CH,Cut and herbicide,"1,4,CH",Spring2019,2019,Spring,103,10.14889157,2.017033339
2,6,bp2_6,CH,Cut and herbicide,"2,6,CH",Spring2019,2019,Spring,32,5.656854249,1.51851394
3,6,bp3_6,CH,Cut and herbicide,"3,6,CH",Spring2019,2019,Spring,232,15.23154621,2.367355921
4,4,bp4_4,CH,Cut and herbicide,"4,4,CH",Spring2019,2019,Spring,369,19.20937271,2.568201724
1,6,bp1_6,CR,Uninvaded control,"1,6,CR",Spring2019,2019,Spring,0,0,0
2,1,bp2_1,CR,Uninvaded control,"2,1,CR",Spring2019,2019,Spring,0,0,0
3,1,bp3_1,CR,Uninvaded control,"3,1,CR",Spring2019,2019,Spring,0,0,0
4,3,bp4_3,CR,Uninvaded control,"4,3,CR",Spring2019,2019,Spring,0,0,0
1,5,bp1_5,H1x,Herbicide 1x,"1,5,H1x",Spring2019,2019,Spring,37,6.08276253,1.579783597
2,3,bp2_3,H1x,Herbicide 1x,"2,3,H1x",Spring2019,2019,Spring,22,4.69041576,1.361727836
3,4,bp3_4,H1x,Herbicide 1x,"3,4,H1x",Spring2019,2019,Spring,36,6,1.568201724
4,6,bp4_6,H1x,Herbicide 1x,"4,6,H1x",Spring2019,2019,Spring,89,9.433981132,1.954242509
1,2,bp1_2,H1x1x,Herbicide 1x1x,"1,2,H1x1x",Spring2019,2019,Spring,50,7.071067812,1.707570176
2,5,bp2_5,H1x1x,Herbicide 1x1x,"2,5,H1x1x",Spring2019,2019,Spring,48,6.92820323,1.69019608
3,2,bp3_2,H1x1x,Herbicide 1x1x,"3,2,H1x1x",Spring2019,2019,Spring,22,4.69041576,1.361727836
4,8,bp4_8,H1x1x,Herbicide 1x1x,"4,8,H1x1x",Spring2019,2019,Spring,91,9.539392014,1.963787827
1,7,bp1_7,H2x1x,Herbicide 3x,"1,7,H2x1x",Spring2019,2019,Spring,2,1.414213562,0.477121255
2,7,bp2_7,H2x1x,Herbicide 3x,"2,7,H2x1x",Spring2019,2019,Spring,7,2.645751311,0.903089987
3,8,bp3_8,H2x1x,Herbicide 3x,"3,8,H2x1x",Spring2019,2019,Spring,5,2.236067977,0.77815125
4,5,bp4_5,H2x1x,Herbicide 3x,"4,5,H2x1x",Spring2019,2019,Spring,32,5.656854249,1.51851394
1,3,bp1_3,P,Manual removal,"1,3,P",Spring2019,2019,Spring,149,12.20655562,2.176091259
2,8,bp2_8,P,Manual removal,"2,8,P",Spring2019,2019,Spring,186,13.6381817,2.271841607
3,7,bp3_7,P,Manual removal,"3,7,P",Spring2019,2019,Spring,121,11,2.086359831
4,2,bp4_2,P,Manual removal,"4,2,P",Spring2019,2019,Spring,402,20.04993766,2.605305046
1,1,bp1_1,PH,Manual removal and herbicide,"1,1,PH",Spring2019,2019,Spring,62,7.874007874,1.799340549
2,2,bp2_2,PH,Manual removal and herbicide,"2,2,PH",Spring2019,2019,Spring,20,4.472135955,1.322219295
