Block,Plot,BlockPlot,Code,Treatment,UniqueID,seasonyear,year,season,Individuals,SQRTIndividuals,LOGP1Individuals,BaselinePECI
1,4,1-4,CH,Cut and herbicide,"1,4,CH",Fall2019,2019,Fall,7,2.645751311,1.84509804,54
2,6,2-6,CH,Cut and herbicide,"2,6,CH",Fall2019,2019,Fall,0,0,0,49
3,6,3-6,CH,Cut and herbicide,"3,6,CH",Fall2019,2019,Fall,10,3.16227766,2,37
4,4,4-4,CH,Cut and herbicide,"4,4,CH",Fall2019,2019,Fall,4,2,1.602059991,65
1,6,1-6,CR,Uninvaded control,"1,6,CR",Fall2019,2019,Fall,1,1,1,0
2,1,2-1,CR,Uninvaded control,"2,1,CR",Fall2019,2019,Fall,0,0,0,0
3,1,3-1,CR,Uninvaded control,"3,1,CR",Fall2019,2019,Fall,0,0,0,0
4,3,4-3,CR,Uninvaded control,"4,3,CR",Fall2019,2019,Fall,6,2.449489743,1.77815125,2
1,5,1-5,H1x,Herbicide 1x,"1,5,H1x",Fall2019,2019,Fall,18,4.242640687,2.255272505,27
2,3,2-3,H1x,Herbicide 1x,"2,3,H1x",Fall2019,2019,Fall,0,0,0,33
3,4,3-4,H1x,Herbicide 1x,"3,4,H1x",Fall2019,2019,Fall,4,2,1.602059991,67
4,6,4-6,H1x,Herbicide 1x,"4,6,H1x",Fall2019,2019,Fall,8,2.828427125,1.903089987,66
1,2,1-2,H1x1x,Herbicide 1x1x,"1,2,H1x1x",Fall2019,2019,Fall,83,9.110433579,2.919078092,51
2,5,2-5,H1x1x,Herbicide 1x1x,"2,5,H1x1x",Fall2019,2019,Fall,2,1.414213562,1.301029996,44
3,2,3-2,H1x1x,Herbicide 1x1x,"3,2,H1x1x",Fall2019,2019,Fall,11,3.31662479,2.041392685,36
4,8,4-8,H1x1x,Herbicide 1x1x,"4,8,H1x1x",Fall2019,2019,Fall,11,3.31662479,2.041392685,78
1,7,1-7,H2x1x,Herbicide 3x,"1,7,H2x1x",Fall2019,2019,Fall,41,6.403124237,2.612783857,29
2,7,2-7,H2x1x,Herbicide 3x,"2,7,H2x1x",Fall2019,2019,Fall,12,3.464101615,2.079181246,43
3,8,3-8,H2x1x,Herbicide 3x,"3,8,H2x1x",Fall2019,2019,Fall,3,1.732050808,1.477121255,40
4,5,4-5,H2x1x,Herbicide 3x,"4,5,H2x1x",Fall2019,2019,Fall,2,1.414213562,1.301029996,52
1,3,1-3,P,Manual removal,"1,3,P",Fall2019,2019,Fall,55,7.416198487,2.740362689,53
2,8,2-8,P,Manual removal,"2,8,P",Fall2019,2019,Fall,102,10.09950494,3.008600172,32
3,7,3-7,P,Manual removal,"3,7,P",Fall2019,2019,Fall,32,5.656854249,2.505149978,27
4,2,4-2,P,Manual removal,"4,2,P",Fall2019,2019,Fall,82,9.055385138,2.913813852,70
1,1,1-1,PH,Manual removal and herbicide,"1,1,PH",Fall2019,2019,Fall,49,7,2.69019608,20
2,2,2-2,PH,Manual removal and herbicide,"2,2,PH",Fall2019,2019,Fall,4,2,1.602059991,33
3,3,3-3,PH,Manual removal and herbicide,"3,3,PH",Fall2019,2019,Fall,5,2.236067977,1.698970004,38
4,1,4-1,PH,Manual removal and herbicide,"4,1,PH",Fall2019,2019,Fall,5,2.236067977,1.698970004,50
1,4,1-4,CH,Cut and herbicide,"1,4,CH",Spring2019,2019,Spring,103,10.14889157,3.012837225,54
2,6,2-6,CH,Cut and herbicide,"2,6,CH",Spring2019,2019,Spring,32,5.656854249,2.505149978,49
3,6,3-6,CH,Cut and herbicide,"3,6,CH",Spring2019,2019,Spring,232,15.23154621,3.365487985,37
4,4,4-4,CH,Cut and herbicide,"4,4,CH",Spring2019,2019,Spring,369,19.20937271,3.567026366,65
1,6,1-6,CR,Uninvaded control,"1,6,CR",Spring2019,2019,Spring,0,0,0,0
2,1,2-1,CR,Uninvaded control,"2,1,CR",Spring2019,2019,Spring,0,0,0,0
3,1,3-1,CR,Uninvaded control,"3,1,CR",Spring2019,2019,Spring,0,0,0,0
4,3,4-3,CR,Uninvaded control,"4,3,CR",Spring2019,2019,Spring,0,0,0,2
1,5,1-5,H1x,Herbicide 1x,"1,5,H1x",Spring2019,2019,Spring,37,6.08276253,2.568201724,27
2,3,2-3,H1x,Herbicide 1x,"2,3,H1x",Spring2019,2019,Spring,22,4.69041576,2.342422681,33
3,4,3-4,H1x,Herbicide 1x,"3,4,H1x",Spring2019,2019,Spring,36,6,2.556302501,67
4,6,4-6,H1x,Herbicide 1x,"4,6,H1x",Spring2019,2019,Spring,89,9.433981132,2.949390007,66
1,2,1-2,H1x1x,Herbicide 1x1x,"1,2,H1x1x",Spring2019,2019,Spring,50,7.071067812,2.698970004,51
2,5,2-5,H1x1x,Herbicide 1x1x,"2,5,H1x1x",Spring2019,2019,Spring,48,6.92820323,2.681241237,44
3,2,3-2,H1x1x,Herbicide 1x1x,"3,2,H1x1x",Spring2019,2019,Spring,22,4.69041576,2.342422681,36
4,8,4-8,H1x1x,Herbicide 1x1x,"4,8,H1x1x",Spring2019,2019,Spring,91,9.539392014,2.959041392,78
1,7,1-7,H2x1x,Herbicide 3x,"1,7,H2x1x",Spring2019,2019,Spring,2,1.414213562,1.301029996,29
2,7,2-7,H2x1x,Herbicide 3x,"2,7,H2x1x",Spring2019,2019,Spring,7,2.645751311,1.84509804,43
3,8,3-8,H2x1x,Herbicide 3x,"3,8,H2x1x",Spring2019,2019,Spring,5,2.236067977,1.698970004,40
4,5,4-5,H2x1x,Herbicide 3x,"4,5,H2x1x",Spring2019,2019,Spring,32,5.656854249,2.505149978,52
1,3,1-3,P,Manual removal,"1,3,P",Spring2019,2019,Spring,149,12.20655562,3.173186268,53
