BlockPlot,Block,Plot,Treatment,Code,Year,Measured costs
BP1-4,1,4,Cut and herbicide,CH,2018,10.32895599
BP1-4,1,4,Cut and herbicide,CH,2019,10.30685598
BP1-4,1,4,Cut and herbicide,CH,2020,0.500065607
BP1-4,1,4,Cut and herbicide,CH,2021,0
BP1-4,1,4,Cut and herbicide,CH,2022,0.954293803
BP2-6,2,6,Cut and herbicide,CH,2018,6.867350148
BP2-6,2,6,Cut and herbicide,CH,2019,2.548780859
BP2-6,2,6,Cut and herbicide,CH,2020,0.126195769
BP2-6,2,6,Cut and herbicide,CH,2021,0
BP2-6,2,6,Cut and herbicide,CH,2022,0.020784729
BP3-6,3,6,Cut and herbicide,CH,2018,5.737506218
BP3-6,3,6,Cut and herbicide,CH,2019,14.79936789
BP3-6,3,6,Cut and herbicide,CH,2020,1.868636048
BP3-6,3,6,Cut and herbicide,CH,2021,0
BP3-6,3,6,Cut and herbicide,CH,2022,0.633092616
BP4-4,4,4,Cut and herbicide,CH,2018,6.181166067
BP4-4,4,4,Cut and herbicide,CH,2019,15.34735999
BP4-4,4,4,Cut and herbicide,CH,2020,0.73611402
BP4-4,4,4,Cut and herbicide,CH,2021,0
BP4-4,4,4,Cut and herbicide,CH,2022,1.52415496
BP1-5,1,5,Herbicide 1x,H1x,2018,2.939836447
BP1-5,1,5,Herbicide 1x,H1x,2019,0.986136543
BP1-5,1,5,Herbicide 1x,H1x,2020,0.013615317
BP1-5,1,5,Herbicide 1x,H1x,2021,0.023823151
BP1-5,1,5,Herbicide 1x,H1x,2022,1.977758729
BP2-3,2,3,Herbicide 1x,H1x,2018,1.834672457
BP2-3,2,3,Herbicide 1x,H1x,2019,0.813622004
BP2-3,2,3,Herbicide 1x,H1x,2020,0
BP2-3,2,3,Herbicide 1x,H1x,2021,0
BP2-3,2,3,Herbicide 1x,H1x,2022,3.901484207
BP3-4,3,4,Herbicide 1x,H1x,2018,1.923862535
BP3-4,3,4,Herbicide 1x,H1x,2019,4.065631714
BP3-4,3,4,Herbicide 1x,H1x,2020,0.466020005
BP3-4,3,4,Herbicide 1x,H1x,2021,0
BP3-4,3,4,Herbicide 1x,H1x,2022,0.810948713
BP4-6,4,6,Herbicide 1x,H1x,2018,1.942859043
BP4-6,4,6,Herbicide 1x,H1x,2019,1.789071521
BP4-6,4,6,Herbicide 1x,H1x,2020,0.656742926
BP4-6,4,6,Herbicide 1x,H1x,2021,0.011095881
BP4-6,4,6,Herbicide 1x,H1x,2022,0.526106061
BP1-2,1,2,Herbicide 2x,H1x1x,2018,5.762140433
BP1-2,1,2,Herbicide 2x,H1x1x,2019,4.482563202
BP1-2,1,2,Herbicide 2x,H1x1x,2020,0
