Block,Plot,BlockPlot,Treatment,Code,Year,Measured_costs,SQRTmcosts,LOG1mcosts
1,4,BP1_4,Cut and herbicide,CH,2018,10.60843933,3.257059921,2.025651497
1,4,BP1_4,Cut and herbicide,CH,2019,10.77721709,3.282867206,2.032506631
1,4,BP1_4,Cut and herbicide,CH,2020,0.521884441,0.722415698,0.717574349
1,4,BP1_4,Cut and herbicide,CH,2021,0,0,0
1,4,BP1_4,Cut and herbicide,CH,2022,0.480992303,0.693536086,0.682138127
2,6,BP2_6,Cut and herbicide,CH,2018,6.996272371,2.645046762,1.844866709
2,6,BP2_6,Cut and herbicide,CH,2019,2.666321026,1.632887328,1.425912437
2,6,BP2_6,Cut and herbicide,CH,2020,0.131614602,0.362787268,0.119304075
2,6,BP2_6,Cut and herbicide,CH,2021,0,0,0
2,6,BP2_6,Cut and herbicide,CH,2022,0.021354173,0.146130671,-0.670517243
3,6,BP3_6,Cut and herbicide,CH,2018,5.823606218,2.413214913,1.765192001
3,6,BP3_6,Cut and herbicide,CH,2019,15.48839111,3.93552933,2.190006307
3,6,BP3_6,Cut and herbicide,CH,2020,1.954715548,1.398111422,1.291083567
3,6,BP3_6,Cut and herbicide,CH,2021,0,0,0
3,6,BP3_6,Cut and herbicide,CH,2022,0.552092061,0.743028977,0.742011502
4,4,BP4_4,Cut and herbicide,CH,2018,6.290727178,2.508132209,1.798700851
4,4,BP4_4,Cut and herbicide,CH,2019,16.05527282,4.006903146,2.20561769
4,4,BP4_4,Cut and herbicide,CH,2020,0.769093964,0.876980025,0.885979403
4,4,BP4_4,Cut and herbicide,CH,2021,0,0,0
4,4,BP4_4,Cut and herbicide,CH,2022,1.05533396,1.027294486,1.023389914
1,5,BP1_5,Herbicide 1x,H1x,2018,3.041880891,1.744098876,1.483142205
1,5,BP1_5,Herbicide 1x,H1x,2019,1.026437265,1.013132403,1.011332411
1,5,BP1_5,Herbicide 1x,H1x,2020,0.014093651,0.118716684,-0.850976487
1,5,BP1_5,Herbicide 1x,H1x,2021,0.024800317,0.157481164,-0.605542768
1,5,BP1_5,Herbicide 1x,H1x,2022,0.019398618,0.139278922,-0.712229209
2,3,BP2_3,Herbicide 1x,H1x,2018,1.897766901,1.377594607,1.278242868
2,3,BP2_3,Herbicide 1x,H1x,2019,0.844615726,0.919029774,0.926659163
2,3,BP2_3,Herbicide 1x,H1x,2020,0,0,0
2,3,BP2_3,Herbicide 1x,H1x,2021,0,0,0
2,3,BP2_3,Herbicide 1x,H1x,2022,0.363036152,0.602524814,0.559949875
3,4,BP3_4,Herbicide 1x,H1x,2018,1.977162535,1.406116117,1.296042372
3,4,BP3_4,Herbicide 1x,H1x,2019,4.213466325,2.052672971,1.624639527
3,4,BP3_4,Herbicide 1x,H1x,2020,0.486923172,0.697798805,0.687460443
3,4,BP3_4,Herbicide 1x,H1x,2021,0,0,0
3,4,BP3_4,Herbicide 1x,H1x,2022,0.130636824,0.361437165,0.116065613
4,6,BP4_6,Herbicide 1x,H1x,2018,1.989097932,1.410353832,1.298656166
4,6,BP4_6,Herbicide 1x,H1x,2019,1.861158632,1.364242879,1.269783391
4,6,BP4_6,Herbicide 1x,H1x,2020,0.687340315,0.829059898,0.837171818
4,6,BP4_6,Herbicide 1x,H1x,2021,0.011544603,0.107445814,-0.937620997
4,6,BP4_6,Herbicide 1x,H1x,2022,0.542607616,0.736619044,0.734485885
1,2,BP1_2,Herbicide 2x,H1x1x,2018,5.977618211,2.444916811,1.776528173
