Year,Treatment,Code,Totalcostestimateincl2hrtravel,scalingfactor,m2,Areahectares,TotalCost2H
Total,Cut and herbicide,CH,316.3276365,1,25,0.0025,316.3276365
Total,Cut and herbicide,CH,416.110546,4,100,0.01,416.110546
Total,Cut and herbicide,CH,549.1544254,8,200,0.02,549.1544254
Total,Cut and herbicide,CH,1613.50546,40,1000,0.1,1613.50546
Total,Cut and herbicide,CH,2943.944254,80,2000,0.2,2943.944254
Total,Cut and herbicide,CH,5604.821841,160,4000,0.4,5604.821841
Total,Cut and herbicide,CH,27224.45224,800,20000,2,26891.84254
Total,Cut and herbicide,CH,54099.31586,1600,40000,4,53500.61841
Total,Herbicide 1x,H1x,226.5642002,1,25,0.0025,234.377543
Total,Herbicide 1x,H1x,268.2568009,4,100,0.01,299.510172
Total,Herbicide 1x,H1x,323.8469351,8,200,0.02,386.3536774
Total,Herbicide 1x,H1x,768.5680091,40,1000,0.1,1081.10172
Total,Herbicide 1x,H1x,1324.469351,80,2000,0.2,1949.536774
Total,Herbicide 1x,H1x,2436.272036,160,4000,0.4,3686.406881
Total,Herbicide 1x,H1x,11469.66885,800,20000,2,17581.36774
Total,Herbicide 1x,H1x,22698.87597,1600,40000,4,34950.06881
Total,Herbicide 2x,H1x1x,315.1964153,1,25,0.0025,365.6484703
Total,Herbicide 2x,H1x1x,367.5856613,4,100,0.01,441.7938811
Total,Herbicide 2x,H1x1x,437.4379892,8,200,0.02,543.3210955
Total,Herbicide 2x,H1x1x,996.2566128,40,1000,0.1,1355.538811
Total,Herbicide 2x,H1x1x,1694.779892,80,2000,0.2,2370.810955
Total,Herbicide 2x,H1x1x,3091.826451,160,4000,0.4,4401.355243
Total,Herbicide 2x,H1x1x,14442.82974,800,20000,2,20645.70955
Total,Herbicide 2x,H1x1x,28552.99999,1600,40000,4,40951.15243
Total,Herbicide 3x,H2x1x,519.3458565,1,25,0.0025,562.0850487
Total,Herbicide 3x,H2x1x,546.183426,4,100,0.01,589.5401948
Total,Herbicide 3x,H2x1x,581.9668519,8,200,0.02,626.1470564
Total,Herbicide 3x,H2x1x,868.2342596,40,1000,0.1,919.0019485
Total,Herbicide 3x,H2x1x,1226.068519,80,2000,0.2,1285.070564
Total,Herbicide 3x,H2x1x,1941.737038,160,4000,0.4,2017.207794
Total,Herbicide 3x,H2x1x,7756.543756,800,20000,2,7874.305636
Total,Herbicide 3x,H2x1x,14984.7958,1600,40000,4,15195.67794
Total,Manual removal,P,211.2293456,1,25,0.0025,246.6996843
Total,Manual removal,P,316.9173822,4,100,0.01,458.7987372
Total,Manual removal,P,457.8347644,8,200,0.02,741.5974744
Total,Manual removal,P,1585.173822,40,1000,0.1,3003.987372
Total,Manual removal,P,2994.347644,80,2000,0.2,5831.974744
Total,Manual removal,P,5812.695289,160,4000,0.4,11487.94949
Total,Manual removal,P,28711.7699,800,20000,2,56735.74744
Total,Manual removal,P,57177.08111,1600,40000,4,113295.4949
Total,Manual removal and herbicide,PH,323.8855181,1,25,0.0025,374.478857
Total,Manual removal and herbicide,PH,384.7420724,4,100,0.01,459.515428
Total,Manual removal and herbicide,PH,465.8841448,8,200,0.02,572.8975226
Total,Manual removal and herbicide,PH,1115.020724,40,1000,0.1,1479.95428
Total,Manual removal and herbicide,PH,1926.441448,80,2000,0.2,2613.775226
Total,Manual removal and herbicide,PH,3549.282896,160,4000,0.4,4881.417118
Total,Manual removal and herbicide,PH,16734.86966,800,20000,2,23022.55226
Total,Manual removal and herbicide,PH,33125.56828,1600,40000,4,45698.97118
