Block,Plot,Treatment,Code,Year,Time
1,1,Pull Herbicide,PH,2018,0.452777778
1,1,Pull Herbicide,PH,2019,0.361375
1,1,Pull Herbicide,PH,2020,0.008077778
1,1,Pull Herbicide,PH,2021,0.001880556
1,1,Pull Herbicide,PH,2022,0.003433333
1,2,Herbicide 1x spring 1x fall,H1x1x,2018,0.262777778
1,2,Herbicide 1x spring 1x fall,H1x1x,2019,0.245613889
1,2,Herbicide 1x spring 1x fall,H1x1x,2020,0
1,2,Herbicide 1x spring 1x fall,H1x1x,2021,0.007791667
1,2,Herbicide 1x spring 1x fall,H1x1x,2022,0.044119444
1,3,Pull,P,2018,0.552222222
1,3,Pull,P,2019,1.615255556
1,3,Pull,P,2020,0.153183333
1,3,Pull,P,2021,0.003452778
1,3,Pull,P,2022,0.113955556
1,4,Cut Herbicide,CH,2018,0.340833333
1,4,Cut Herbicide,CH,2019,0.573611111
1,4,Cut Herbicide,CH,2020,0.026608333
1,4,Cut Herbicide,CH,2021,0
1,4,Cut Herbicide,CH,2022,0.021102778
1,5,Herbicide 1x spring,H1x,2018,0.124444444
1,5,Herbicide 1x spring,H1x,2019,0.049147222
1,5,Herbicide 1x spring,H1x,2020,0.000583333
1,5,Herbicide 1x spring,H1x,2021,0.001191667
1,5,Herbicide 1x spring,H1x,2022,0.000583333
1,6,Control Reference,CR,2018,0
1,6,Control Reference,CR,2019,0
1,6,Control Reference,CR,2020,0
1,6,Control Reference,CR,2021,0.001666667
1,6,Control Reference,CR,2022,0
1,7,Herbicide 2x spring 1x fall,H2x1x,2018,0.231388889
1,7,Herbicide 2x spring 1x fall,H2x1x,2019,0.066247222
1,7,Herbicide 2x spring 1x fall,H2x1x,2020,0
1,7,Herbicide 2x spring 1x fall,H2x1x,2021,0.004877778
1,7,Herbicide 2x spring 1x fall,H2x1x,2022,0.005080556
1,8,Control No Treatment,CNT,2018,0
1,8,Control No Treatment,CNT,2019,0
1,8,Control No Treatment,CNT,2020,0
1,8,Control No Treatment,CNT,2021,0
1,8,Control No Treatment,CNT,2022,0
2,1,Control Reference,CR,2018,0
2,1,Control Reference,CR,2019,0
2,1,Control Reference,CR,2020,0
2,1,Control Reference,CR,2021,0
2,1,Control Reference,CR,2022,0
2,2,Pull Herbicide,PH,2018,0.355833333
2,2,Pull Herbicide,PH,2019,0.205752778
2,2,Pull Herbicide,PH,2020,0.014977778
2,2,Pull Herbicide,PH,2021,0.027669444
